rows,rss,heapTotal,heapUsed,external,arrayBuffers,timestamp
0,46792704,4673536,3840024,1602180,76051,1727044895748
1000000,170557440,119209984,94631392,3830404,2304235,1727044897270
2000000,257634304,204201984,168666032,5403268,1779947,1727044898661
3000000,350322688,296308736,259806528,3306116,1779947,1727044900009
4000000,407281664,353456128,323795536,4485764,2959595,1727044901323
5000000,434507776,378626048,340852856,3306116,1779947,1727044902702
6000000,491835392,435511296,398466232,3699332,2173163,1727044904016
7000000,628789248,571633664,541304184,4682372,3156203,1727044905374
8000000,686039040,628781056,594244560,4289156,2762987,1727044906666
9000000,743317504,685666304,647192216,3895940,2369771,1727044907960
10000000,919511040,861667328,819037056,3228816,1702647,1727044909363